fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,Distance
7.5,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1,1681.11
7.7,-73.994355,40.728225,-73.99471,40.750325,1,2454.36
12.9,-74.005043,40.74077,-73.962565,40.772647,1,5039.6
5.3,-73.976124,40.790844,-73.965316,40.803349,3,1661.44
16.0,-73.925023,40.744085,-73.97308199999999,40.761247,5,4483.73
4.9,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1,0.0
24.5,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5,11734.67
2.5,0.0,0.0,0.0,0.0,1,0.0
9.7,-73.975187,40.745767,-74.00272,40.743537,1,2338.56
12.5,-74.001065,40.741787,-73.96304,40.775012,1,4891.12
6.5,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1,2250.36
8.5,0.0,0.0,0.0,0.0,1,0.0
3.3,-73.966378,40.80444,-73.96589,40.807133,5,301.88
10.9,-73.953352,40.767382,-73.97251,40.796137,1,3579.38
6.9,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1,1308.74
9.7,-73.990718,40.75192,-73.97305300000001,40.74423,2,1719.01
4.9,-73.988908,40.756982,-73.981246,40.76005,1,731.21
10.5,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2,2521.09
12.0,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1,1790.15
4.9,-73.992075,40.719633,-73.985323,40.727405,1,1034.55
10.5,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1,2493.01
5.0,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2,958.31
4.1,-74.010798,40.726085,-74.00976700000001,40.737402,2,1259.75
7.7,-73.9943,40.739512,-73.98807,40.724482,2,1750.07
12.9,-73.972987,40.76404,-74.00782,40.714993,5,6190.48
9.5,-73.986059,40.757159,-73.97613,40.780589,1,2733.6
5.0,-73.957802,40.776372,-73.957422,40.78287,1,722.31
12.0,-73.993909,40.741551,-73.987874,40.770232,1,3225.52
