No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
126,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,22.0,0.0,-0.56,13.86,12.15,4,14.0,1.0,0,0
11,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,15.82,31.07,5.19,20.52,19.29,33,115.5,0.0,0,1
12,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.45,28.19,3.36,24.74,15.01,18,63.0,1.0,0,0
2823,7,D,Acer saccharum,0.08,Med,2016,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,22.23,0.0,-0.71,14.29,12.36,4,14.0,1.0,0,0
5679,14,A,Acer saccharum,0.06,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,21.15,0.0,-0.58,10.85,11.2,4,14.0,1.0,0,0
18,1,C,Prunus serotina,0.106,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,2018-06-05,35.29,0.0,0.3,10.8,13.79,7,24.5,1.0,0,0
25,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,24.0,20.0,5.11,18.82,22.51,7,24.5,0.0,1,0
40,1,A,Quercus rubra,0.108,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,2018-06-07,4.0,0.0,3.43,25.22,14.81,7,24.5,0.0,1,0
26,1,A,Quercus rubra,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,28.74,36.18,3.83,26.65,14.65,33,115.5,0.0,0,1
41,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.16,0.0,-0.05,13.3,12.16,7,24.5,1.0,0,0
30,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.45,28.19,3.36,24.74,15.01,33,115.5,0.0,0,1
33,1,C,Quercus alba,0.106,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,19.68,21.58,5.1,18.16,22.56,21,73.5,1.0,0,0
34,1,C,Quercus alba,0.106,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,11.14,32.75,5.05,21.93,17.75,21,73.5,1.0,0,0
37,1,A,Quercus alba,0.108,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,11.45,21.84,4.79,17.83,23.72,17,59.5,1.0,0,0
42,1,A,Quercus alba,0.108,Med,2016,Sterile,1320,Sterile,Sterilized,EMF,Sterile,2018-05-10,24.0,9.09,3.68,19.77,19.81,7,24.5,0.0,1,0
39,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,17.54,32.82,5.29,20.84,18.65,33,115.5,0.0,0,1
50,1,C,Quercus rubra,0.106,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,2018-06-07,3.0,0.0,3.5,20.44,18.99,7,24.5,0.0,1,0
91,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,10.0,0.0,-0.1,12.61,11.75,7,24.5,0.0,1,0
98,1,A,Acer saccharum,0.108,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,2018-06-04,22.98,0.0,0.44,13.69,12.31,7,24.5,1.0,0,0
130,1,A,Acer saccharum,0.108,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,2018-06-07,8.55,0.0,0.08,10.61,11.57,7,24.5,1.0,0,0
134,1,A,Acer saccharum,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,12.86,0.0,0.04,13.95,12.5,7,24.5,1.0,0,0
55,1,A,Quercus rubra,0.108,Med,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,20.45,26.44,3.89,24.19,16.19,33,115.5,0.0,0,1
142,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,9.0,26.92,4.77,17.0,25.17,7,24.5,0.0,1,0
59,1,A,Quercus alba,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,10.68,26.72,5.04,21.43,18.21,21,73.5,1.0,0,0
61,1,A,Quercus alba,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,18.04,25.57,5.09,18.75,23.07,21,73.5,1.0,0,0
148,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,14.0,38.46,5.47,21.72,18.17,7,24.5,0.0,1,0
63,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.16,0.0,-0.05,13.3,12.16,17,59.5,1.0,0,0
